,Train_Step,CPU_Time,CPU_Coverage,CPU_Avg_f,CPU_Success,GPU_nsrd_Time,GPU_nsrd_Coverage,GPU_nsrd_Avg_f,GPU_nsrd_Success,GPU_Time,GPU_Coverage,GPU_Avg_f,GPU_Success
2x2,1000,7701,0.0219727,267,0,22.0242,0.0483398,0,0,25.2273,0.0608521,2101,0
,5000,12007,0.0362549,1688,0,110.379,0.0814209,17,0,112.892,0.0906982,6288,8
,10000,26199,0.0428467,3538,1,198.102,0.0831299,90,0,245.229,0.118652,7797,13
,50000,93672,0.0587158,7101,10,981.55,0.121155,466,13,1144.02,0.172302,9258,18
,100000,179702,0.0695801,8260,15,1984.15,0.144653,371,0,2247.29,0.190674,8858,17
,500000,815075,0.0996704,9734,19,9889.45,0.183899,10001,19,11161.9,0.255615,10001,20
,1000000,1661840,0.111633,9362,18,19554.6,0.198975,10001,20,22855.7,0.1543,10001,20
4x4,1000,6784,0.0187988,79,0,23.4045,0.0438494,3,0,27.9132,0.0570679,1484,0
,5000,39775,0.0328522,450,0,115.98,0.0665741,14,0,127.499,0.0880127,5405,4
,10000,74057,0.0411682,939,0,223.913,0.081955,16,0,263.178,0.103256,6725,11
,50000,324538,0.0572052,3983,1,1052.65,0.114365,508,1,1267.25,0.145142,9042,18
,100000,630646,0.0686188,7508,10,2118.55,0.127335,669,1,2513.03,0.171951,10001,20
,500000,3099910,0.0944519,8984,16,10443.8,0.168625,5698,11,12581.2,0.226089,9255,18
,1000000,6226994,0.106522,9753,19,21106.1,0.186768,7515,15,25345.9,0.255417,10001,20
8x8,1000,29006,0.0144119,42,0,25.5959,0.041376,28,0,37.1763,0.0538864,420,0
,5000,130877,0.0295982,98,0,125.74,0.0812227,83,0,166.256,0.0788803,3039,0
,10000,247796,0.0369377,286,0,228.183,0.0982989,168,0,356.819,0.0879478,5967,7
,50000,1221252,0.0569305,2326,0,1133.59,0.147634,2352,0,1673.23,0.125523,7711,13
,100000,2436992,0.0667267,3980,0,2272.17,0.1695,5545,7,3337.73,0.143066,9876,18
,500000,12701354,0.0924377,7204,12,11266.2,0.220852,9253,14,16635.7,0.193016,9573,19
,1000000,24582086,0.105099,8782,15,22711.6,0.246557,9269,18,33277.1,0.218166,10001,20
16x16,1000,106208,0.0100451,43,0,25.8826,0.0276643,33,0,37.4026,0.0485783,551,0
,5000,499791,0.0208454,65,0,124.933,0.0547217,44,0,167.8552,0.0509901,439,0
,10000,963737,0.0265293,79,0,242.627,0.0712382,74,0,347.064,0.0857048,5048,2
,50000,4867504,0.048687,410,0,1138.41,0.120604,435,0,1718.49,0.121923,7981,13
,100000,9776729,0.0604486,1399,0,2315.23,0.146513,2828,1,3375.38,0.136409,8696,16
,500000,49516210,0.0870829,7728,12,11552.5,0.202159,7337,10,16891.9,0.155165,10001,20
,1000000,99601387,0.0998316,7534,9,23131.5,0.230926,8947,15,33667,0.183224,10001,20
